center_x,center_y,label,orientation,avg_height,orig_index
10032,3222,palace,8.130102157592773,271.6600341796875,0
10893,3066,house,90.0,259.9429931640625,1
10921,3043,palace,90.0,258.7602233886719,2
10170,2932,platform_large,90.0,256.7580261230469,3
10946,2887,house,90.0,259.468505859375,4
10940,2835,house,90.0,265.724365234375,5
10202,2826,platform_large,90.0,257.7989196777344,6
10645,2738,house,90.0,274.342041015625,7
10846,2736,ruin_large_rectangular,90.0,282.8653259277344,8
10264,2546,ruin_small,90.0,257.74267578125,9
10164,1391,platform_large,90.0,299.1005859375,12
10259,439,house,90.0,315.6744079589844,13
10968,417,house,90.0,291.7620544433594,14
10994,409,palace,90.0,292.4947204589844,15
10959,400,house,90.0,291.48846435546875,16
10980,63,double_house,18.434947967529297,327.0169982910156,19
9612,60,double_house,90.0,320.34765625,20
11350,3492,house,7.125016689300537,220.64198303222656,21
11719,3482,house,90.0,221.09828186035156,22
11957,3484,double_house,18.43494987487793,219.1829376220703,23
11682,3488,platform_large,21.801410675048828,221.71839904785156,24
11822,3485,cluster_houses,90.0,219.4498291015625,25
12903,3469,house,90.0,221.11004638671875,27
11994,3478,unknown_large_building,50.90614318847656,219.71815490722656,28
12132,3478,cluster_houses,56.97612762451172,216.6234893798828,29
11985,3460,palace_large,35.83765411376953,220.31736755371094,31
11695,3447,platform_large,90.0,223.86045837402344,32
12119,3445,house,90.0,219.61129760742188,33
12145,3444,cluster_houses,59.931419372558594,219.91708374023438,34
12063,3443,cluster_houses,34.99201965332031,221.33688354492188,35
12486,3424,house,90.0,213.99932861328125,36
11690,3421,unknown_large_building,62.10273361206055,224.82644653320312,37
11659,3408,house,90.0,224.25726318359375,39
11767,3402,double_house,75.96376037597656,226.05181884765625,40
13167,3396,house,90.0,216.62705993652344,41
11942,3390,house,90.0,224.0052032470703,42
12100,3392,palace_large,12.094758033752441,224.12728881835938,43
11994,3382,house,90.0,225.7272491455078,44
11827,3382,unknown_elongated_building,3.814074993133545,227.7274169921875,45
11786,3372,palace,78.69007110595703,228.35462951660156,46
11718,3364,house,90.0,227.93331909179688,47
11991,3358,platform_large,90.0,226.66429138183594,48
11756,3353,unknown_large_building,11.309932708740234,228.73658752441406,50
11597,3347,cluster_houses,70.90650939941406,231.07972717285156,51
